Serial_number:,,,
367990,,,
Project ID:,,,
,,,
Location:,,,
,,,
RainFall,,,
UNIT: mm,,,
Rain Cal. Constant: 1.000000 mm,,,
Date,Time,ms,RainFall
9/22/2021,7:43:28 PM,0,0
9/22/2021,7:44:28 PM,0,0
9/22/2021,7:45:28 PM,0,0
9/22/2021,7:46:28 PM,0,0
9/22/2021,7:47:28 PM,0,0
9/22/2021,7:48:28 PM,0,0
9/22/2021,7:49:28 PM,0,0
9/22/2021,7:50:28 PM,0,0
9/22/2021,7:51:28 PM,0,2
9/22/2021,7:52:28 PM,0,0
9/22/2021,7:53:28 PM,0,0
9/22/2021,7:54:28 PM,0,0
9/22/2021,7:55:28 PM,0,0
9/22/2021,7:56:28 PM,0,0
9/22/2021,7:57:28 PM,0,0
9/22/2021,7:58:28 PM,0,0
9/22/2021,7:59:28 PM,0,0
9/22/2021,8:00:28 PM,0,1
9/22/2021,8:01:28 PM,0,0
9/22/2021,8:02:28 PM,0,0
9/22/2021,8:03:28 PM,0,0
9/22/2021,8:04:28 PM,0,0
9/22/2021,8:05:28 PM,0,0
9/22/2021,8:06:28 PM,0,0
9/22/2021,8:07:28 PM,0,0
9/22/2021,8:08:28 PM,0,0
9/22/2021,8:09:28 PM,0,0
9/22/2021,8:10:28 PM,0,0
9/22/2021,8:11:28 PM,0,0
9/22/2021,8:12:28 PM,0,0
9/22/2021,8:13:28 PM,0,0
9/22/2021,8:14:28 PM,0,0
9/22/2021,8:15:28 PM,0,0
9/22/2021,8:16:28 PM,0,0
9/22/2021,8:17:28 PM,0,0
9/22/2021,8:18:28 PM,0,0
9/22/2021,8:19:28 PM,0,0
9/22/2021,8:20:28 PM,0,0
9/22/2021,8:21:28 PM,0,0
9/22/2021,8:22:28 PM,0,0
9/22/2021,8:23:28 PM,0,0
9/22/2021,8:24:28 PM,0,0
9/22/2021,8:25:28 PM,0,0
9/22/2021,8:26:28 PM,0,0
9/22/2021,8:27:28 PM,0,0
9/22/2021,8:28:28 PM,0,0
9/22/2021,8:29:28 PM,0,0
9/22/2021,8:30:28 PM,0,0
9/22/2021,8:31:28 PM,0,0
9/22/2021,8:32:28 PM,0,0
9/22/2021,8:33:28 PM,0,0
9/22/2021,8:34:28 PM,0,0
9/22/2021,8:35:28 PM,0,0
9/22/2021,8:36:28 PM,0,0
9/22/2021,8:37:28 PM,0,0
9/22/2021,8:38:28 PM,0,0
9/22/2021,8:39:28 PM,0,0
9/22/2021,8:40:28 PM,0,0
9/22/2021,8:41:28 PM,0,0
9/22/2021,8:42:28 PM,0,0
9/22/2021,8:43:28 PM,0,0
9/22/2021,8:44:28 PM,0,0
9/22/2021,8:45:28 PM,0,0
9/22/2021,8:46:28 PM,0,0
9/22/2021,8:47:28 PM,0,0
9/22/2021,8:48:28 PM,0,0
9/22/2021,8:49:28 PM,0,0
9/22/2021,8:50:28 PM,0,0
9/22/2021,8:51:28 PM,0,0
9/22/2021,8:52:28 PM,0,0
9/22/2021,8:53:28 PM,0,0
9/22/2021,8:54:28 PM,0,0
9/22/2021,8:55:28 PM,0,0
9/22/2021,8:56:28 PM,0,0
9/22/2021,8:57:28 PM,0,0
9/22/2021,8:58:28 PM,0,0
9/22/2021,8:59:28 PM,0,0
9/22/2021,9:00:28 PM,0,0
9/22/2021,9:01:28 PM,0,0
9/22/2021,9:02:28 PM,0,0
9/22/2021,9:03:28 PM,0,0
9/22/2021,9:04:28 PM,0,0
9/22/2021,9:05:28 PM,0,0
9/22/2021,9:06:28 PM,0,0
9/22/2021,9:07:28 PM,0,0
9/22/2021,9:08:28 PM,0,0
9/22/2021,9:09:28 PM,0,0
9/22/2021,9:10:28 PM,0,0
9/22/2021,9:11:28 PM,0,0
9/22/2021,9:12:28 PM,0,0
9/22/2021,9:13:28 PM,0,0
9/22/2021,9:14:28 PM,0,0
9/22/2021,9:15:28 PM,0,0
9/22/2021,9:16:28 PM,0,0
9/22/2021,9:17:28 PM,0,0
9/22/2021,9:18:28 PM,0,0
9/22/2021,9:19:28 PM,0,0
9/22/2021,9:20:28 PM,0,0
9/22/2021,9:21:28 PM,0,0
9/22/2021,9:22:28 PM,0,0
9/22/2021,9:23:28 PM,0,0
9/22/2021,9:24:28 PM,0,0
9/22/2021,9:25:28 PM,0,0
9/22/2021,9:26:28 PM,0,0
9/22/2021,9:27:28 PM,0,0
9/22/2021,9:28:28 PM,0,0
9/22/2021,9:29:28 PM,0,0
9/22/2021,9:30:28 PM,0,0
9/22/2021,9:31:28 PM,0,0
9/22/2021,9:32:28 PM,0,0
9/22/2021,9:33:28 PM,0,0
9/22/2021,9:34:28 PM,0,0
9/22/2021,9:35:28 PM,0,0
9/22/2021,9:36:28 PM,0,0
9/22/2021,9:37:28 PM,0,0
9/22/2021,9:38:28 PM,0,0
9/22/2021,9:39:28 PM,0,0
9/22/2021,9:40:28 PM,0,0
9/22/2021,9:41:28 PM,0,0
9/22/2021,9:42:28 PM,0,0
9/22/2021,9:43:28 PM,0,0
9/22/2021,9:44:28 PM,0,0
9/22/2021,9:45:28 PM,0,0
9/22/2021,9:46:28 PM,0,0
9/22/2021,9:47:28 PM,0,0
9/22/2021,9:48:28 PM,0,0
9/22/2021,9:49:28 PM,0,0
9/22/2021,9:50:28 PM,0,0
9/22/2021,9:51:28 PM,0,0
9/22/2021,9:52:28 PM,0,0
9/22/2021,9:53:28 PM,0,0
9/22/2021,9:54:28 PM,0,0
9/22/2021,9:55:28 PM,0,0
9/22/2021,9:56:28 PM,0,0
9/22/2021,9:57:28 PM,0,0
9/22/2021,9:58:28 PM,0,0
9/22/2021,9:59:28 PM,0,0
9/22/2021,10:00:28 PM,0,0
9/22/2021,10:01:28 PM,0,0
9/22/2021,10:02:28 PM,0,0
9/22/2021,10:03:28 PM,0,0
9/22/2021,10:04:28 PM,0,0
9/22/2021,10:05:28 PM,0,0
9/22/2021,10:06:28 PM,0,0
9/22/2021,10:07:28 PM,0,0
9/22/2021,10:08:28 PM,0,0
9/22/2021,10:09:28 PM,0,0
9/22/2021,10:10:28 PM,0,0
9/22/2021,10:11:28 PM,0,0
9/22/2021,10:12:28 PM,0,0
9/22/2021,10:13:28 PM,0,0
9/22/2021,10:14:28 PM,0,0
9/22/2021,10:15:28 PM,0,0
9/22/2021,10:16:28 PM,0,0
9/22/2021,10:17:28 PM,0,0
9/22/2021,10:18:28 PM,0,0
9/22/2021,10:19:28 PM,0,0
9/22/2021,10:20:28 PM,0,0
9/22/2021,10:21:28 PM,0,0
9/22/2021,10:22:28 PM,0,0
9/22/2021,10:23:28 PM,0,0
9/22/2021,10:24:28 PM,0,0
9/22/2021,10:25:28 PM,0,0
9/22/2021,10:26:28 PM,0,0
9/22/2021,10:27:28 PM,0,0
9/22/2021,10:28:28 PM,0,0
9/22/2021,10:29:28 PM,0,0
9/22/2021,10:30:28 PM,0,0
9/22/2021,10:31:28 PM,0,0
9/22/2021,10:32:28 PM,0,0
9/22/2021,10:33:28 PM,0,0
9/22/2021,10:34:28 PM,0,0
9/22/2021,10:35:28 PM,0,0
9/22/2021,10:36:28 PM,0,0
9/22/2021,10:37:28 PM,0,0
9/22/2021,10:38:28 PM,0,0
9/22/2021,10:39:28 PM,0,0
9/22/2021,10:40:28 PM,0,0
9/22/2021,10:41:28 PM,0,0
9/22/2021,10:42:28 PM,0,0
9/22/2021,10:43:28 PM,0,0
9/22/2021,10:44:28 PM,0,0
9/22/2021,10:45:28 PM,0,0
9/22/2021,10:46:28 PM,0,0
9/22/2021,10:47:28 PM,0,0
9/22/2021,10:48:28 PM,0,0
9/22/2021,10:49:28 PM,0,0
9/22/2021,10:50:28 PM,0,0
9/22/2021,10:51:28 PM,0,0
9/22/2021,10:52:28 PM,0,0
9/22/2021,10:53:28 PM,0,0
9/22/2021,10:54:28 PM,0,0
9/22/2021,10:55:28 PM,0,0
9/22/2021,10:56:28 PM,0,0
9/22/2021,10:57:28 PM,0,0
9/22/2021,10:58:28 PM,0,0
9/22/2021,10:59:28 PM,0,0
9/22/2021,11:00:28 PM,0,0
9/22/2021,11:01:28 PM,0,0
9/22/2021,11:02:28 PM,0,0
9/22/2021,11:03:28 PM,0,0
9/22/2021,11:04:28 PM,0,0
9/22/2021,11:05:28 PM,0,0
9/22/2021,11:06:28 PM,0,0
9/22/2021,11:07:28 PM,0,0
9/22/2021,11:08:28 PM,0,0
9/22/2021,11:09:28 PM,0,0
9/22/2021,11:10:28 PM,0,0
9/22/2021,11:11:28 PM,0,0
9/22/2021,11:12:28 PM,0,0
9/22/2021,11:13:28 PM,0,0
9/22/2021,11:14:28 PM,0,0
9/22/2021,11:15:28 PM,0,0
9/22/2021,11:16:28 PM,0,0
9/22/2021,11:17:28 PM,0,0
9/22/2021,11:18:28 PM,0,0
9/22/2021,11:19:28 PM,0,0
9/22/2021,11:20:28 PM,0,0
9/22/2021,11:21:28 PM,0,0
9/22/2021,11:22:28 PM,0,0
9/22/2021,11:23:28 PM,0,0
9/22/2021,11:24:28 PM,0,0
9/22/2021,11:25:28 PM,0,0
9/22/2021,11:26:28 PM,0,0
9/22/2021,11:27:28 PM,0,0
9/22/2021,11:28:28 PM,0,0
9/22/2021,11:29:28 PM,0,0
9/22/2021,11:30:28 PM,0,0
9/22/2021,11:31:28 PM,0,0
9/22/2021,11:32:28 PM,0,0
9/22/2021,11:33:28 PM,0,0
9/22/2021,11:34:28 PM,0,0
9/22/2021,11:35:28 PM,0,0
9/22/2021,11:36:28 PM,0,0
9/22/2021,11:37:28 PM,0,0
9/22/2021,11:38:28 PM,0,0
9/22/2021,11:39:28 PM,0,0
9/22/2021,11:40:28 PM,0,0
9/22/2021,11:41:28 PM,0,0
9/22/2021,11:42:28 PM,0,0
9/22/2021,11:43:28 PM,0,0
9/22/2021,11:44:28 PM,0,0
9/22/2021,11:45:28 PM,0,0
9/22/2021,11:46:28 PM,0,0
9/22/2021,11:47:28 PM,0,0
9/22/2021,11:48:28 PM,0,0
9/22/2021,11:49:28 PM,0,0
9/22/2021,11:50:28 PM,0,0
9/22/2021,11:51:28 PM,0,0
9/22/2021,11:52:28 PM,0,0
9/22/2021,11:53:28 PM,0,0
9/22/2021,11:54:28 PM,0,0
9/22/2021,11:55:28 PM,0,0
9/22/2021,11:56:28 PM,0,0
9/22/2021,11:57:28 PM,0,0
9/22/2021,11:58:28 PM,0,0
9/22/2021,11:59:28 PM,0,0
9/23/2021,12:00:28 AM,0,0
9/23/2021,12:01:28 AM,0,0
9/23/2021,12:02:28 AM,0,0
9/23/2021,12:03:28 AM,0,0
